CHROMATOGRAM,Lactoferrin_M9,CHROMATOGRAM,IgY_M9-1,CHROMATOGRAM,IgY_M9-2,CHROMATOGRAM,IgY_M9-3
Lactoferrin_M9.raw,,IgY_M9_1.raw,,IgY_M9_2.raw,,IgY_M9_3.raw,
Data points: 929,,Data points: 922,,Data points: 921,,Data points: 923,
Time,--,Time,--,Time,--,0.021072,0.004774311
19.46253,0.008407978,19.45341,0.415888555,19.45863,0.871656773,17.47301,0.005911052
19.565863,0.007987883,19.55697,0.296977952,19.562255,0.426405606,17.56541,0.005229008
19.669205,0.007886861,19.660455,0.294461551,19.66561,0.513888682,17.65769,0
19.772612,0.006554811,19.763952,0.334638663,19.769093,0.753177709,17.75019,0.004546963
19.875948,0.006618295,19.86731,0.333508415,19.872438,0.728182544,17.84258,0.005456356
19.979415,0.009373479,19.970908,0.353596971,19.9761,0.757244382,17.934833,0.007502489
20.082732,0.008771766,20.074252,0.269148264,20.079453,0.602165256,18.027367,0.001136741
20.186202,0.007545154,20.177775,0.303887391,20.182948,0.608612421,18.119653,0.005229008
20.289513,0.00822912,20.281277,0.291859848,20.28631,0.549893622,18.211972,0.003410222
20.392845,0.007033422,20.384627,0.439325204,20.38981,0.723322373,18.30448,0.002273482
20.496317,0.009545161,20.488175,0.392942391,20.49316,0.602413224,18.396978,4.55E-04
20.599497,0.007004716,20.59154,0.277870366,20.596518,0.709188203,18.489372,0.002046133
20.702917,0.009637902,20.695122,0.466984288,20.700053,0.533180585,18.581662,0.003637571
20.806278,0.009223879,20.798595,0.26646126,20.803347,0.684441006,18.674172,0.003182874
20.909822,0.007696411,20.902103,0.238013135,20.90694,0.966479699,18.766448,0
21.013277,0.007849875,21.00544,0.273754558,21.010428,0.780107023,18.858737,0
21.116613,0.009093048,21.108913,0.313995646,21.113767,0.958445539,18.951268,9.09E-04
21.220108,0.010989273,21.212253,0.281111831,21.217128,0.522617152,19.043663,0
21.323465,0.008888797,21.315675,0.28699765,21.32062,0.792753386,19.136037,9.09E-04
21.426952,0.008878308,21.419017,0.272837564,21.42413,0.793199728,19.22833,9.09E-04
21.530303,0.007964145,21.522533,0.370380085,21.527627,0.666636911,19.320755,0.002955526
21.633882,0.013897922,21.625862,0.348393566,21.631122,0.631276688,19.413148,0.00250083
21.737213,0.00920511,21.729198,0.378099891,21.734473,0.534965954,19.505423,0
21.840673,0.008372096,21.832657,0.320265322,21.838047,0.700112577,19.597858,0.00500166
21.944062,0.010322972,21.936007,0.348990678,21.94141,0.879591746,19.690327,0.002273482
22.047385,0.008364368,22.039712,0.2993664,22.045013,0.800440391,19.782667,0.003182874
22.150902,0.009539089,22.143055,0.267570183,22.148518,0.568937557,19.874943,0.002046133
22.254225,0.011040612,22.246645,0.34314751,22.251882,0.857621789,19.967462,0
22.357773,0.00894952,22.3501,0.346836809,22.35538,0.735720768,20.059745,0
22.461108,0.008670192,22.453332,0.25805904,22.458725,0.587138401,20.15205,0.003637571
22.564667,0.009609749,22.556673,0.407550311,22.562335,0.511061848,20.244502,9.09E-04
22.668142,0.007881893,22.660292,0.34935321,22.665748,0.604843309,20.336882,0.001591437
22.771497,0.011097471,22.763632,0.336728555,22.769087,0.717222363,20.429178,0.004546963
22.874847,0.007132787,22.866978,0.288127898,22.872597,0.728827261,20.521562,0.008866578
22.978128,0.010306963,22.970467,0.287722715,22.97595,0.715040245,20.613843,0.002955526
23.081462,0.007948136,23.07373,0.341292197,23.079333,0.740531346,20.706335,0.007047793
23.185048,0.00808228,23.177292,0.283009795,23.182693,0.568540808,20.798867,0
23.288525,0.009731747,23.280782,0.369569719,23.286133,0.6898963,20.891145,0.006820445
23.39186,0.009001963,23.384135,0.396930247,23.389643,0.687218246,20.98342,4.55E-04
23.495435,0.011079254,23.48774,0.324764988,23.493,0.794935504,21.075938,0.002955526
23.598793,0.013013017,23.591247,0.367330549,23.596545,0.79558022,21.16834,0.001818785
23.702352,0.009067655,23.69459,0.345045473,23.699882,0.751045185,21.260622,6.82E-04
23.80583,0.009962496,23.798032,0.391215031,23.803467,0.579699364,21.353158,0.001364089
23.90916,0.012463195,23.90138,0.399659902,23.906847,0.689251583,21.44568,0.007957186
24.012703,0.013117903,24.004877,0.392942391,24.010338,0.718263828,21.53796,0.010003319
24.116167,0.016098868,24.108187,0.26870043,24.113723,0.826377834,21.630377,9.09E-04
24.219523,0.008200414,24.211722,0.423373781,24.217223,0.647741756,21.72284,0.002955526
24.323067,0.012152953,24.315065,0.439474482,24.320585,0.746482575,21.815242,0.009093927
24.42654,0.012447738,24.418505,0.362894859,24.42407,0.841305501,21.90752,0.001136741
24.529895,0.010954495,24.521965,0.443313059,24.527462,0.921399134,21.999932,6.82E-04
24.633312,0.01285072,24.62531,0.365283307,24.631085,0.855290891,22.092313,0.009548623
24.73674,0.027307849,24.728808,0.402240279,24.734583,0.576227813,22.184593,0.002728178
24.840305,0.033471823,24.832143,0.340695085,24.837857,0.59239532,22.277137,0.007047793
24.943633,0.022625526,24.93549,0.352914557,24.941408,0.874781168,22.369533,0.006365749
25.046985,0.014954509,25.038987,0.400342316,25.04476,0.664504387,22.461818,0
25.150503,0.012065733,25.142362,0.910361323,25.14833,0.641195404,22.554345,0.007502489
